A,p,D_over_Dc,D,s,margin
2,0.014028505520066743,0.7,3.542861103068562e-05,1.8119959186609962,0.15006145057445708
2,0.014028505520066743,0.7,3.542861103068562e-05,2.1443951023931955,0.15005523538643128
2,0.014028505520066743,0.7,3.542861103068562e-05,2.4767942861253944,0.15005023548138596
2,0.014028505520066743,0.7,3.542861103068562e-05,2.8091934698575938,0.1500469983361552
2,0.014028505520066743,0.7,3.542861103068562e-05,3.141592653589793,0.15004587840123973
2,0.014028505520066743,0.85,4.302045625154682e-05,0.15,0.07509539116258601
2,0.014028505520066743,0.85,4.302045625154682e-05,0.48239918373219925,0.07509242946353267
2,0.014028505520066743,0.85,4.302045625154682e-05,0.8147983674643985,0.07508667465073948
2,0.014028505520066743,0.85,4.302045625154682e-05,1.1471975511965977,0.07507875716230084
2,0.014028505520066743,0.85,4.302045625154682e-05,1.4795967349287968,0.07506954376033992
2,0.014028505520066743,0.85,4.302045625154682e-05,1.8119959186609962,0.07506004295249413
2,0.014028505520066743,0.85,4.302045625154682e-05,2.1443951023931955,0.07505129488849138
2,0.014028505520066743,0.85,4.302045625154682e-05,2.4767942861253944,0.07504425737228426
2,0.014028505520066743,0.85,4.302045625154682e-05,2.8091934698575938,0.07503970096340717
2,0.014028505520066743,0.85,4.302045625154682e-05,3.141592653589793,0.0750381246174785
2,0.014028505520066743,1.0,5.061230147240803e-05,0.15,0.00010079382402738979
2,0.014028505520066743,1.0,5.061230147240803e-05,0.48239918373219925,9.68881938734345e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,0.8147983674643985,8.930204235113592e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,1.1471975511965977,7.886511132326746e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,1.4795967349287968,6.671980084016482e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,1.8119959186609962,5.419561488007041e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,2.1443951023931955,4.2663696533384865e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,2.4767942861253944,3.3386649273214886e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,2.8091934698575938,2.7380283365907587e-05
2,0.014028505520066743,1.0,5.061230147240803e-05,3.141592653589793,2.5302305357355337e-05
2,0.01967989671265431,0.15,1.5114188768355906e-05,0.15,0.4250494662367743
2,0.01967989671265431,0.15,1.5114188768355906e-05,0.48239918373219925,0.4250492395189722
2,0.01967989671265431,0.15,1.5114188768355906e-05,0.8147983674643985,0.4250488037177955
2,0.01967989671265431,0.15,1.5114188768355906e-05,1.1471975511965977,0.425048203892751
2,0.01967989671265431,0.15,1.5114188768355906e-05,1.4795967349287968,0.4250475060878074
2,0.01967989671265431,0.15,1.5114188768355906e-05,1.8119959186609962,0.42504678653553607
2,0.01967989671265431,0.15,1.5114188768355906e-05,2.1443951023931955,0.4250461240407981
2,0.01967989671265431,0.15,1.5114188768355906e-05,2.4767942861253944,0.4250455910613087
2,0.01967989671265431,0.15,1.5114188768355906e-05,2.8091934698575938,0.4250452459444065
2,0.01967989671265431,0.15,1.5114188768355906e-05,3.141592653589793,0.4250451266069919
2,0.01967989671265431,0.3,3.0228377536711813e-05,0.15,0.35009208384069845
2,0.01967989671265431,0.3,3.0228377536711813e-05,0.48239918373219925,0.3500912223011865
2,0.01967989671265431,0.3,3.0228377536711813e-05,0.8147983674643985,0.35008954672452375
2,0.01967989671265431,0.3,3.0228377536711813e-05,1.1471975511965977,0.35008724137616265
2,0.01967989671265431,0.3,3.0228377536711813e-05,1.4795967349287968,0.3500845586655523
2,0.01967989671265431,0.3,3.0228377536711813e-05,1.8119959186609962,0.3500817922399915
2,0.01967989671265431,0.3,3.0228377536711813e-05,2.1443951023931955,0.35007924499932286
2,0.01967989671265431,0.3,3.0228377536711813e-05,2.4767942861253944,0.35007719584122765
2,0.01967989671265431,0.3,3.0228377536711813e-05,2.8091934698575938,0.3500758691122168
2,0.01967989671265431,0.3,3.0228377536711813e-05,3.141592653589793,0.3500754101155623
2,0.01967989671265431,0.5,5.0380629227853024e-05,0.15,0.2501382787989048
2,0.01967989671265431,0.5,5.0380629227853024e-05,0.48239918373219925,0.2501360111374886
2,0.01967989671265431,0.5,5.0380629227853024e-05,0.8147983674643985,0.25013160751113417
2,0.01967989671265431,0.5,5.0380629227853024e-05,1.1471975511965977,0.2501255491616643
2,0.01967989671265431,0.5,5.0380629227853024e-05,1.4795967349287968,0.25011849900255667
2,0.01967989671265431,0.5,5.0380629227853024e-05,1.8119959186609962,0.2501112288388696
2,0.01967989671265431,0.5,5.0380629227853024e-05,2.1443951023931955,0.2501045345466182
2,0.01967989671265431,0.5,5.0380629227853024e-05,2.4767942861253944,0.25009914915922327
2,0.01967989671265431,0.5,5.0380629227853024e-05,2.8091934698575938,0.2500956623570407
2,0.01967989671265431,0.5,5.0380629227853024e-05,3.141592653589793,0.2500944560642828
